1576550405
10001:68,商场,0 1 2,0 2,
10001:82,商场,0 1 2,0 2,
10001:83,商场,0 1 2,0 2,
10001:84,商场,0 1 2,0 2,
10001:85,商场,0 1 2,0 2,
10001:9,酒店,0 1 2,0 2,
10001:133,酒店,0 1 2,0 2,
10001:134,酒店,0 1 2,0 2,
10001:135,酒店,0 1 2,0 2,
10001:136,酒店,0 1 2,0 2,
10001:10,大学,0 1 2,0 2,
10001:139,大学,0 1 2,0 2,
10001:140,大学,0 1 2,0 2,
10001:141,大学,0 1 2,0 2,
10001:142,大学,0 1 2,0 2,
10001:143,大学,0 1 2,0 2,
10001:69,公园,0 1 2,0 2,
10001:14,公园,0 1 2,0 2,
10001:100,公园,0 1 2,0 2,
10001:101,公园,0 1 2,0 2,
10001:102,公园,0 1 2,0 2,
10001:19,餐馆,0 1 2,0 2,
10001:114,餐馆,0 1 2,0 2,
10001:115,餐馆,0 1 2,0 2,
10001:116,餐馆,0 1 2,0 2,
10001:117,餐馆,0 1 2,0 2,
10001:124,体育场,0 1 2 3,0 2 3,
10001:125,体育场,0 1 2 3,0 2 3,
10001:126,体育场,0 1 2 3,0 2 3,
10001:127,体育场,0 1 2 3,0 2 3,
10001:128,体育场,0 1 2 3,0 2 3,
10001:11,学校,0 1 2,0 2,
10001:13,博物馆,0 1 2 3,0 2 3,
10001:7,商店,0 1 2,0 2,
10001:8,超市,0 1 2,0 2,
10001:15,体育馆,0 1 2 3,0 2 3,
10001:22,咖啡厅,0 1 2 3,0 2 3,
10001:23,机场,0 1 2,0 2,
10001:24,公交站,0 1 2 3,0 1 2 3,
10001:154,公交站,0 1 2 3,0 1 2 3,
10001:25,客运站,0 1 2 3,0 2 3,
10001:26,火车站,0 1 2 3,0 2 3,
10001:29,服务区,0 1 2 3,0 2 3,
10001:30,收费站,0 1 2 3,0 2 3,
10001:31,停车场,0 1 2 3,0 2 3,
10001:32,医院,0 1 2,0 2,
10001:70,医院,0 1 2,0 2,
10001:36,码头,0 1 2,0 2,
10001:37,海洋馆,0 1 2 3,0 2 3,
10001:38,动物园,0 1 2 3,0 2 3,
10001:41,加油站,0 1 2 3,0 3,
10001:42,银行,0 1 2,0 2,
10001:43,警察局,0 1 2 3,0 3,
10001:57,药店,0 1 2,0 2,
10001:58,洗衣店,0 1 2 3,0 3,
10001:60,电影院,0 1 2 3,0 2 3,
10001:62,酒吧,0 1 2,0 2,
10001:63,邮局,0 1 2,0 2,
10001:71,加气站,0 1 2 3,0 1 2 3,
10001:73,游乐场,0 1 2 3,0 2 3,
10001:92,便利店,0 1 2 3,0 2 3,
10001:98,农贸市场,0 1 2 3 4,0 1 2 4,
10001:104,植物园,0 1 2 3,0 2 3,
10001:109,庙宇,0 1 2,0 1 2,
10001:110,教堂,0 1 2,0 2,
10001:111,清真寺,0 1 2 3,0 3,
10001:131,诊所,0 1 2,0 2,
10001:132,急救中心,0 1 2 3 4,0 2 4,
10001:137,法院,0 1 2,0 2,
10001:138,电视台,0 1 2 3,0 2 3,
10001:176,航站楼,0 1 2 3,0 1 2 3,
10007:166,甜品店,0 1 2 3,0 1 2 3,
10007:167,茶馆,0 1 2,0 2,
10007:170,口腔医院,0 1 2 3 4,0 2 4,
10007:171,游泳馆,0 1 2 3,0 2 3,
10007:172,保龄球馆,0 1 2 3 4,0 3 4,
10007:176,美术馆,0 1 2 3,0 2 3,
10007:177,天文馆,0 1 2 3,0 2 3,
10007:178,剧院,0 1 2,0 2,
10007:179,中餐,0 1 2,0 2,
10007:181,快餐,0 1 2,0 2,
