1576550405
10001:68,shopping mall,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10001:82,shopping mall,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10001:83,shopping mall,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10001:84,shopping mall,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10001:85,shopping mall,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10001:9,hotel,0 1 2 3 4 5,0 5,
10001:133,hotel,0 1 2 3 4 5,0 5,
10001:134,hotel,0 1 2 3 4 5,0 5,
10001:135,hotel,0 1 2 3 4 5,0 5,
10001:136,hotel,0 1 2 3 4 5,0 5,
10001:10,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:139,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:140,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:141,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:142,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:143,university,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:69,park,0 1 2 3 4,0 4,
10001:14,park,0 1 2 3 4,0 4,
10001:100,park,0 1 2 3 4,0 4,
10001:101,park,0 1 2 3 4,0 4,
10001:102,park,0 1 2 3 4,0 4,
10001:19,restaurant,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:114,restaurant,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:115,restaurant,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:116,restaurant,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:117,restaurant,0 1 2 3 4 5 6 7 8 9 10,0 10,
10001:124,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:125,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:126,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:127,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:128,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:11,school,0 1 2 3 4 5 6,0 6,
10001:13,museum,0 1 2 3 4 5 6,0 6,
10001:7,store,0 1 2 3 4 5,0 5,
10001:8,supermarket,0 1 2 3 4 5 6 7 8 9 10 11,0 11,
10001:15,sports stadium,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:22,cafe,0 1 2 3 4,0 4,
10001:23,airport,0 1 2 3 4 5 6 7,0 7,
10001:24,bus stop,0 1 2 3 4 5 6 7 8,0 3 4 8,
10001:154,bus stop,0 1 2 3 4 5 6 7 8,0 3 4 8,
10001:25,bus station,0 1 2 3 4 5 6 7 8 9 10 11,0 3 4 11,
10001:26,train station,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 5 6 13,
10001:29,service area,0 1 2 3 4 5 6 7 8 9 10 11 12,0 7 8 12,
10001:30,toll station,0 1 2 3 4 5 6 7 8 9 10 11 12,0 4 5 12,
10001:31,parking lot,0 1 2 3 4 5 6 7 8 9 10 11,0 7 8 11,
10001:32,hospital,0 1 2 3 4 5 6 7 8,0 8,
10001:70,hospital,0 1 2 3 4 5 6 7 8,0 8,
10001:36,pier,0 1 2 3 4,0 4,
10001:37,aquarium,0 1 2 3 4 5 6 7 8,0 8,
10001:38,zoo,0 1 2 3,0 3,
10001:41,petrol station,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:42,bank,0 1 2 3 4,0 4,
10001:43,police station,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 6 7 14,
10001:57,pharmacy,0 1 2 3 4 5 6 7 8,0 8,
